window_size,accuracy
0.5,0.4773
0.6,0.4832
0.7,0.4889
0.8,0.4977
0.9,0.5121
1.0,0.5581
1.1,0.6079
1.2,0.6668
1.3,0.7091
1.4,0.7483
1.5,0.773
1.6,0.7849
1.7,0.8042
1.8,0.8254
1.9,0.8213
2.0,0.7974
2.1,0.794
2.2,0.8002
2.3,0.8248
2.4,0.8423
2.5,0.8337
2.6,0.7874
2.7,0.7282
2.8,0.6628
2.9,0.6645
3.0,0.7043
3.1,0.7332
3.2,0.6952
3.3,0.6311
3.4,0.6196
3.5,0.6291
3.6,0.6398
3.7,0.6865
3.8,0.6653
3.9,0.6269
4.0,0.6833
4.1,0.6888
4.2,0.6805
4.3,0.6849
4.4,0.6256
4.5,0.6201
4.6,0.7353
4.7,0.732
4.8,0.689
4.9,0.6741
5.0,0.5911
